creature_aquatic_dunamisdeos

[OBJECT:CREATURE]

[CREATURE:FISH_GOLDFIN]
	[DESCRIPTION:A common medium-sized edible fish found in most temperate rivers. Its fins have a golden-yellow edge.]
	[NAME:river goldfin:river goldfins:river goldfin]
	[CASTE_NAME:river goldfin:river goldfins:river goldfin]
	[CREATURE_TILE:160][COLOR:6:0:1]
	[AQUATIC]
	[SMALL_REMAINS]
	[UNDERSWIM]
	[VERMIN_FISH]
	[FISHITEM]
	[IMMOBILE_LAND]
	[VERMIN_NOTRAP]
	[NATURAL]
	[NOT_BUTCHERABLE]
	[BIOME:RIVER_TEMPERATE_FRESHWATER]
	[BIOME:RIVER_TEMPERATE_BRACKISHWATER]
	[BIOME:RIVER_TEMPERATE_SALTWATER]
	[POPULATION_NUMBER:1250:1500]
	[CLUSTER_NUMBER:1:10]
	[PREFSTRING:scales]
	[PREFSTRING:coloration]

[CREATURE:FISH_RIVERSHOOTER]
	[DESCRIPTION:A small, quick-moving edible fish found in most temperate rivers. Its darts and weaves through the water.]
	[NAME:rivershooter:rivershooter:rivershooter]
	[CASTE_NAME:rivershooter:rivershooter:rivershooter]
	[CREATURE_TILE:160][COLOR:1:0:1]
	[AQUATIC]
	[SMALL_REMAINS]
	[UNDERSWIM]
	[VERMIN_FISH]
	[FISHITEM]
	[IMMOBILE_LAND]
	[VERMIN_NOTRAP]
	[NATURAL]
	[NOT_BUTCHERABLE]
	[BIOME:RIVER_TEMPERATE_FRESHWATER]
	[BIOME:RIVER_TEMPERATE_BRACKISHWATER]
	[BIOME:RIVER_TEMPERATE_SALTWATER]
	[POPULATION_NUMBER:1250:1500]
	[CLUSTER_NUMBER:1:10]
	[PREFSTRING:speed]

[CREATURE:FISH_RIVERSHOOTER_CAVE]
	[DESCRIPTION:A quick-moving medium-sized edible fish found underground. Its darts and weaves through the water as it hunts for prey.]
	[NAME:caveshooter:caveshooter:caveshooter]
	[CASTE_NAME:caveshooter:caveshooter:caveshooter]
	[CREATURE_TILE:160][COLOR:1:0:1]
	[AQUATIC]
	[SMALL_REMAINS]
	[UNDERSWIM]
	[VERMIN_FISH]
	[FISHITEM]
	[IMMOBILE_LAND]
	[VERMIN_NOTRAP]
	[NATURAL]
	[NOT_BUTCHERABLE]
	[BIOME:RIVER_TEMPERATE_FRESHWATER]
	[BIOME:RIVER_TEMPERATE_BRACKISHWATER]
	[BIOME:RIVER_TEMPERATE_SALTWATER]
	[POPULATION_NUMBER:1250:1500]
	[CLUSTER_NUMBER:1:10]
	[PREFSTRING:speed]


[CREATURE:FISH_SILVERFISH]
	[DESCRIPTION:A common medium-sized edible fish found in most tropical rivers. Its scales have a mirror-like quality.]
	[NAME:silverfish:silverfish:silverfish]
	[CASTE_NAME:silverfish:silverfish:silverfish]
	[CREATURE_TILE:160][COLOR:7:0:1]
	[AQUATIC]
	[SMALL_REMAINS]
	[UNDERSWIM]
