tissue_template_urd

[OBJECT:TISSUE_TEMPLATE]

[TISSUE_TEMPLATE:SKIN_TEMPLATE_URD]
	[TISSUE_NAME:skin:STP]
	[TISSUE_MATERIAL:LOCAL_CREATURE_MAT:SKIN]
	[RELATIVE_THICKNESS:1]
	[HEALING_RATE:50]
	[VASCULAR:1]
	[PAIN_RECEPTORS:2]
	[SCARS]
	[CONNECTS]
	[TISSUE_SHAPE:LAYER]

[TISSUE_TEMPLATE:FAT_TEMPLATE_URD]
	[TISSUE_NAME:fat:STP]
	[TISSUE_MATERIAL:LOCAL_CREATURE_MAT:FAT]
	[RELATIVE_THICKNESS:1]
	[HEALING_RATE:50]
	[VASCULAR:2]
	[PAIN_RECEPTORS:4]
	[THICKENS_ON_ENERGY_STORAGE]
	[SCARS]
	[ARTERIES]
	[CONNECTS]
	[INSULATION:200]
	[TISSUE_SHAPE:LAYER]

[TISSUE_TEMPLATE:MUSCLE_TEMPLATE_URD]
	[TISSUE_NAME:muscle:STP]
	[TISSUE_MATERIAL:LOCAL_CREATURE_MAT:MUSCLE]
	[RELATIVE_THICKNESS:5]
	[HEALING_RATE:175] 
	[VASCULAR:5]
	[PAIN_RECEPTORS:8]
	[THICKENS_ON_STRENGTH]
	[ARTERIES]
	[SCARS]
	[MUSCULAR]
	[CONNECTS]
	[SPLINTABLE]
	[TISSUE_SHAPE:LAYER]

[TISSUE_TEMPLATE:BONE_TEMPLATE_URD]
	[TISSUE_NAME:bone:STP]
	[TISSUE_MATERIAL:LOCAL_CREATURE_MAT:BONE]
	[RELATIVE_THICKNESS:10]
	[HEALING_RATE:1025]
	[VASCULAR:10]
	[PAIN_RECEPTORS:100]
	[STRUCTURAL]
	[ARTERIES]
	[CONNECTIVE_TISSUE_ANCHOR]
	[CONNECTS]
	[TISSUE_SHAPE:LAYER]
	[SETTABLE]
	[SPLINTABLE]

[TISSUE_TEMPLATE:TOOTH_TEMPLATE_URD]
	[TISSUE_NAME:tooth:STP]
	[TISSUE_MATERIAL:LOCAL_CREATURE_MAT:TOOTH]
	[RELATIVE_THICKNESS:30]
	[VASCULAR:0]
	[PAIN_RECEPTORS:10]
	[TISSUE_SHAPE:LAYER]

[TISSUE_TEMPLATE:ORGAN_TISSUE_TEMPLATE_URD]
	[TISSUE_NAME:organs:NP]
	[TISSUE_MATERIAL:LOCAL_CREATURE_MAT:ORGAN_TISSUE]
	[RELATIVE_THICKNESS:10]
	[HEALING_RATE:350]
	[VASCULAR:5]
	[PAIN_RECEPTORS:16]
	[THICKENS_ON_ENERGY_STORAGE]
	[FUNCTIONAL]
	[MAJOR_ARTERIES]
	[TISSUE_SHAPE:LAYER]

[TISSUE_TEMPLATE:NERVE_TISSUE_TEMPLATE_URD]
	[TISSUE_NAME:nervous tissue:STP]
	[TISSUE_MATERIAL:LOCAL_CREATURE_MAT:NERVE_TISSUE]
	[RELATIVE_THICKNESS:20]
	[VASCULAR:5]
	[FUNCTIONAL]
	[MAJOR_ARTERIES]
	[TISSUE_SHAPE:LAYER]


[TISSUE_TEMPLATE:EYE_TISSUE_TEMPLATE_URD]
	[TISSUE_NAME:eye tissue:STP]
	[TISSUE_MATERIAL:LOCAL_CREATURE_MAT:NERVE_TISSUE]
	[RELATIVE_THICKNESS:20]
	[VASCULAR:5]
	[FUNCTIONAL]
	[MAJOR_ARTERIES]
	[TISSUE_SHAPE:LAYER]


[TISSUE_TEMPLATE:CARTILAGE_TEMPLATE_URD]
	[TISSUE_NAME:cartilage:STP]
	[TISSUE_MATERIAL:LOCAL_CREATURE_MAT:CARTILAGE]
	[RELATIVE_THICKNESS:100]
	[HEALING_RATE:250] Cartilage heals, but slower than muscle, no blood vessels, ya see.
	[VASCULAR:0]
	[PAIN_RECEPTORS:0]
	[STRUCTURAL]
	[CONNECTIVE_TISSUE_ANCHOR]
	[CONNECTS]
	[TISSUE_SHAPE:LAYER]
	[SETTABLE]
	[SPLINTABLE]

[TISSUE_TEMPLATE:KERATIN_TEMPLATE_URD] 
	[TISSUE_NAME:keratin:STP]
	[TISSUE_MATERIAL:LOCAL_CREATURE_MAT:KERATIN]
	[RELATIVE_THICKNESS:100]
	[VASCULAR:0]
	[PAIN_RECEPTORS:0]
	[HEALING_RATE:50]
	[STRUCTURAL]
	[CONNECTIVE_TISSUE_ANCHOR]
	[CONNECTS]
	[TISSUE_SHAPE:LAYER]
	[SETTABLE]
	[SPLINTABLE]

[TISSUE_TEMPLATE:HAIR_TEMPLATE_URD]
	[TISSUE_NAME:hair:STP]
	[TISSUE_MATERIAL:LOCAL_CREATURE_MAT:KERATIN]
	[RELATIVE_THICKNESS:100]
	[VASCULAR:0]
	[PAIN_RECEPTORS:0]
	[HEALING_RATE:50]
	[TISSUE_SHAPE:STRANDS]
	[STYLEABLE]
	[INSULATION:200]
	[SUBORDINATE_TO_TISSUE:SKIN]

[TISSUE_TEMPLATE:FEATHER_TEMPLATE_URD]
	[TISSUE_NAME:feather:STP]
	[TISSUE_MATERIAL:LOCAL_CREATURE_MAT:KERATIN]
	[RELATIVE_THICKNESS:100]
	[VASCULAR:0]
	[PAIN_RECEPTORS:0]
	[HEALING_RATE:50]
	[TISSUE_SHAPE:FEATHERS]
	[INSULATION:200]
	[STYLEABLE]
	[SUBORDINATE_TO_TISSUE:SKIN]


[TISSUE_TEMPLATE:SCALE_TEMPLATE_URD]
	[TISSUE_NAME:scale:STP]
	[TISSUE_MATERIAL:LOCAL_CREATURE_MAT:SCALE]
	[RELATIVE_THICKNESS:2]
	[VASCULAR:1]
	[PAIN_RECEPTORS:1]
	[HEALING_RATE:80] 	Scales heal slower than flesh, right?
	[TISSUE_SHAPE:SCALES]
	[INSULATION:200]
	[CONNECTS]
	[SCARS]

[TISSUE_TEMPLATE:KERATIN_SCALES_TEMPLATE_URD] For "scaled" armored mammals
	[TISSUE_NAME:keratin:STP]
	[TISSUE_MATERIAL:LOCAL_CREATURE_MAT:KERATIN_SCALES]
	[RELATIVE_THICKNESS:2]
	[VASCULAR:1]
	[PAIN_RECEPTORS:1]
	[PAIN_RECEPTORS:1]
	[HEALING_RATE:80] 
	[TISSUE_SHAPE:SCALES]
	[INSULATION:200]
	[CONNECTS]
	[SCARS]

[TISSUE_TEMPLATE:CHITIN_TEMPLATE_URD]
	[TISSUE_NAME:scale:STP]
	[TISSUE_MATERIAL:LOCAL_CREATURE_MAT:CHITIN]
	[RELATIVE_THICKNESS:2]
	[VASCULAR:1]
	[PAIN_RECEPTORS:1]
	[HEALING_RATE:80] 	
	[TISSUE_SHAPE:LAYER]
	[INSULATION:20]
	[CONNECTS]
	[SCARS]
